,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
558,santa marta,11.2408,-74.199,83.98,83,100,6.02,CO,1623090314
559,viedma,-40.8135,-62.9967,61.84,26,15,18.79,AR,1623090509
560,balykshi,47.0667,51.8667,71.6,53,40,13.42,KZ,1623090510
561,brainerd,46.358,-94.2008,86.09,26,1,9.22,US,1623090510
562,hirara,24.8,125.2833,81.37,76,100,13.06,JP,1623090511
563,bacolod,10.6667,122.95,78.17,83,99,6.06,PH,1623090512
564,honningsvag,70.9821,25.9704,57.2,47,0,10.36,NO,1623090512
565,athabasca,54.7169,-113.2854,57.02,71,59,12.84,CA,1623090512
566,carmen,18.6333,-91.8333,89.64,62,1,16.11,MX,1623090249
567,bindura,-17.3019,31.3306,54.0,74,15,4.0,ZW,1623090513
568,kysyl-syr,63.8986,122.7617,48.09,43,31,4.29,RU,1623090514
569,magadan,59.5667,150.8,40.96,95,100,5.01,RU,1623090514
